timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
2595611862,-0.0324662,-0.0278175,-0.0396299,-0.99975,-0.0127139,-0.0182712,-0.00209901
2595643835,-0.0123767,-0.0353012,-0.0401505,-0.999765,-0.0123642,-0.0177265,-0.00144363
2595675865,0.0175373,-0.0281242,-0.0397561,-0.999776,-0.0124618,-0.0170922,-0.000817984
2595707835,0.0370982,-0.0332979,-0.0335613,-0.999781,-0.0128499,-0.0165137,-0.000217146
2595735832,0.0333361,-0.0225157,-0.0279656,-0.999783,-0.0132912,-0.0160752,0.000190058
2595767835,0.0305459,-0.031689,-0.0159974,-0.999784,-0.0137863,-0.0155525,0.000517528
2595799817,0.0221751,-0.0359566,-0.0112828,-0.999788,-0.0140799,-0.0149796,0.000746606
2595832643,-0.0308458,-0.0533372,-0.0154128,-0.9998,-0.0140543,-0.0142046,0.00096923
2595865445,-0.180449,-0.140585,-0.0131396,-0.999847,-0.0121887,-0.0125101,0.00121098
2595893415,-0.258046,-0.222325,-0.0133532,-0.999912,-0.00883536,-0.00983932,0.00137177
2595925439,-0.324204,-0.280303,-0.0151335,-0.999974,-0.00413853,-0.00571375,0.00154709
2595957415,-0.365987,-0.33353,-0.00947641,-0.999997,0.00135151,-0.00073183,0.00172455
2595989414,-0.339915,-0.385505,0.00398751,-0.999961,0.00706075,0.00506995,0.00175165
2596021460,-0.333748,-0.40078,0.0140321,-0.999857,0.0124097,0.011418,0.00165297
2596053449,-0.368151,-0.375528,0.0181811,-0.999682,0.0180003,0.0175877,0.00148251
2596085453,-0.331243,-0.331078,0.0223919,-0.999456,0.0235042,0.0230907,0.00120473
2596117434,-0.280624,-0.27964,0.0192152,-0.999211,0.0283213,0.0278387,0.000898564
2596145434,-0.224942,-0.232448,0.0153787,-0.999004,0.0317486,0.0313332,0.000655596
2596177434,-0.148846,-0.184906,0.0186638,-0.998805,0.0345566,0.0345477,0.000372987
2596209429,-0.0642592,-0.13891,0.0304276,-0.99867,0.0360753,0.0368326,-7.09881e-05
2596241407,-0.0260006,-0.0808605,0.0334788,-0.998605,0.0364439,0.0381928,-0.000550557
2596273422,-0.042388,-0.0316114,0.028803,-0.998563,0.0368807,0.0388698,-0.000998969
2596305433,-0.0608968,0.00269495,0.0311768,-0.998534,0.0375307,0.0389698,-0.00145924
2596337430,-0.0708213,0.0171989,0.0333795,-0.998513,0.0384669,0.0385922,-0.00191531
2596369427,-0.0556513,0.0220418,0.0386133,-0.998504,0.0393006,0.0379409,-0.00241929
2596397409,-0.0542167,0.0228725,0.0381569,-0.9985,0.0398669,0.0374249,-0.00289098
2596429474,-0.0603547,0.0202601,0.041859,-0.99849,0.0406532,0.0367951,-0.00341793
2596461434,-0.0240589,0.0347685,0.0383797,-0.998492,0.0411107,0.0361545,-0.00398661
2596493435,0.00444355,0.0378841,0.0343111,-0.998518,0.0410337,0.0354666,-0.00455907
2596525447,-0.00078666,0.0392278,0.0365075,-0.998548,0.0408819,0.0346983,-0.00508906
2596557468,0.000655232,0.042442,0.0384977,-0.998585,0.0406614,0.033816,-0.00564398
2596589417,0.0365082,0.0402189,0.0388859,-0.998631,0.040168,0.0329352,-0.00615115
2596621443,0.0656654,0.0622455,0.0346844,-0.998696,0.0392707,0.0319248,-0.00665467
2596649434,0.103949,0.0548039,0.0316397,-0.998769,0.0379885,0.0311078,-0.00703753
2596681435,0.136959,0.0627403,0.0228828,-0.998876,0.0359311,0.0300056,-0.00748695
2596713416,0.123189,0.0543415,0.021058,-0.998985,0.0335756,0.0289653,-0.00786748
2596745435,0.098816,0.0458746,0.0161637,-0.999069,0.0317198,0.028063,-0.00819713
2596777441,0.058816,0.0524959,0.0179871,-0.999136,0.0303489,0.0271036,-0.00847368
2596809437,0.0374962,0.0486926,0.0194957,-0.999184,0.0295079,0.026157,-0.00871813
2596841426,0.0661676,0.0486601,0.0171091,-0.999234,0.0285474,0.0252339,-0.00895584
2596873434,0.0845226,0.0535067,0.0112436,-0.999293,0.0271456,0.0243228,-0.00919609
2596905417,0.0668287,0.0436171,0.0149215,-0.999342,0.025889,0.0235732,-0.00941872
2596937437,0.0448643,0.0298269,0.0140864,-0.999383,0.0248652,0.0228551,-0.0096255
2596969438,0.0465368,0.0348985,0.016593,-0.999417,0.0240333,0.0221605,-0.00986789
