timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature
2578492314,0,2922.95,2916.71,-1000.0
2578540295,0,2929.39,2916.64,-1000.0
2578600351,0,2942.29,2915.21,-1000.0
2578648374,0,2903.61,2918.11,-1000.0
2578696919,0,2929.39,2921.98,-1000.0
2578756979,0,2950.34,2923.54,-1000.0
2578804227,0,2900.39,2921.28,-1000.0
2578852310,0,2910.06,2919.86,-1000.0
2578912293,0,2922.95,2919.49,-1000.0
2578960428,0,2932.62,2919.78,-1000.0
2579008429,0,2906.84,2918.64,-1000.0
2579068371,0,2905.22,2922.34,-1000.0
2579117528,0,2913.28,2921.38,-1000.0
2579165921,0,2940.67,2927.04,-1000.0
2579225913,0,2932.62,2929.76,-1000.0
2579273854,0,2924.56,2928.5,-1000.0
2579321817,0,2935.84,2933.16,-1000.0
2579381852,0,2939.06,2940.8,-1000.0
2579430000,0,2969.68,2947.7,-1000.0
2579478564,0,2958.4,2951.16,-1000.0
2579539539,0,2964.84,2951.7,-1000.0
2579585834,0,2964.84,2954.35,-1000.0
2579633871,0,3001.9,2964.29,-1000.0
2579693806,0,2976.12,2962.2,-1000.0
2579741790,0,2948.73,2962.47,-1000.0
2579790002,0,2961.62,2963.27,-1000.0
2579850050,0,2979.35,2966.71,-1000.0
2579898971,0,2990.62,2970.66,-1000.0
2579945862,0,2979.35,2974.87,-1000.0
2580005952,0,2977.73,2980.28,-1000.0
2580053814,0,2987.4,2982.63,-1000.0
2580105862,0,2985.79,2986.72,-1000.0
2580153883,0,3018.02,2993.45,-1000.0
2580213959,0,3006.74,3000.69,-1000.0
2580263457,0,2982.57,3001.63,-1000.0
2580311596,0,3016.41,3005.29,-1000.0
2580371653,0,3000.29,3004.52,-1000.0
2580419648,0,3030.91,3010.45,-1000.0
2580467420,0,3003.52,3011.41,-1000.0
2580527547,0,3001.9,3010.63,-1000.0
2580575520,0,3016.41,3013.66,-1000.0
2580623440,0,3003.52,3014.09,-1000.0
2580683549,0,3005.13,3014.37,-1000.0
2580731447,0,3016.41,3017.42,-1000.0
2580780281,0,3022.85,3017.3,-1000.0
2580840252,0,3055.08,3016.74,-1000.0
2580887371,0,3013.18,3016.96,-1000.0
2580935669,0,3037.35,3021.32,-1000.0
2580995467,0,3038.96,3027.8,-1000.0
2581043544,0,3030.91,3029.37,-1000.0
2581091651,0,3027.69,3031.03,-1000.0
2581151447,0,3038.96,3031.47,-1000.0
2581200910,0,3019.63,3031.91,-1000.0
2581247438,0,3038.96,3033.46,-1000.0
2581308042,0,3038.96,3035.25,-1000.0
2581355495,0,3071.19,3041.54,-1000.0
2581404999,0,3053.47,3044.2,-1000.0
2581464979,0,3019.63,3044.12,-1000.0
2581512990,0,3042.19,3044.82,-1000.0
2581561812,0,3047.02,3045.15,-1000.0
2581621776,0,3069.58,3046.55,-1000.0
2581669209,0,3030.91,3044.16,-1000.0
2581717144,0,3035.74,3041.93,-1000.0
2581777039,0,3022.85,3033.75,-1000.0
2581824987,0,3019.63,3033.26,-1000.0
2581873384,0,3026.07,3029.9,-1000.0
2581933090,0,3047.02,3033.74,-1000.0
2581982426,0,3000.29,3026.2,-1000.0
2582042546,0,3045.41,3028.82,-1000.0
2582089242,0,3003.52,3026.0,-1000.0
2582137041,0,3053.47,3031.9,-1000.0
2582197057,0,3030.91,3031.7,-1000.0
2582245020,0,3034.13,3030.14,-1000.0
2582293011,0,3035.74,3031.98,-1000.0
2582353000,0,3019.63,3030.41,-1000.0
2582402478,0,2989.01,3024.6,-1000.0
2582462667,0,2993.85,3017.59,-1000.0
2582510731,0,3011.57,3016.33,-1000.0
2582558809,0,2980.96,3008.85,-1000.0
2582606749,0,2977.73,3005.38,-1000.0
2582666742,0,2982.57,3003.66,-1000.0
2582714717,0,3006.74,2999.2,-1000.0
2582774796,0,2997.07,2996.47,-1000.0
2582823383,0,2995.46,2991.88,-1000.0
2582870847,0,2968.07,2989.13,-1000.0
2582930690,0,2963.23,2987.68,-1000.0
2582978605,0,3001.9,2986.39,-1000.0
2583026825,0,2992.24,2984.1,-1000.0
2583086963,0,2955.18,2980.29,-1000.0
2583135076,0,2972.9,2976.17,-1000.0
2583183865,0,2953.56,2973.52,-1000.0
2583243967,0,2960.01,2972.26,-1000.0
2583290698,0,2953.56,2968.52,-1000.0
2583338954,0,2951.95,2964.6,-1000.0
2583398609,0,2974.51,2964.89,-1000.0
2583447053,0,2966.46,2961.51,-1000.0
2583507091,0,2966.46,2960.01,-1000.0
2583554733,0,2951.95,2960.03,-1000.0
2583604586,0,2990.62,2965.95,-1000.0
2583664712,0,2977.73,2963.1,-1000.0
2583712261,0,2982.57,2967.8,-1000.0
2583760674,0,2961.62,2965.86,-1000.0
2583820331,0,2969.68,2966.95,-1000.0
2583868436,0,2951.95,2968.99,-1000.0
2583916239,0,2980.96,2971.02,-1000.0
2583976180,0,2984.18,2969.86,-1000.0
2584025083,0,2931.01,2959.26,-1000.0
2584072212,0,2951.95,2958.31,-1000.0
2584132338,0,2926.17,2957.32,-1000.0
2584180252,0,2976.12,2958.77,-1000.0
2584228581,0,2977.73,2959.81,-1000.0
2584288377,0,2963.23,2959.18,-1000.0
2584336334,0,2960.01,2958.16,-1000.0
2584396196,0,2947.12,2953.87,-1000.0
2584445711,0,2956.79,2954.28,-1000.0
2584492284,0,2932.62,2953.0,-1000.0
2584552263,0,2977.73,2956.96,-1000.0
2584600264,0,2943.9,2955.69,-1000.0
2584648394,0,2932.62,2952.78,-1000.0
2584696192,0,2958.4,2954.75,-1000.0
2584757925,0,2940.67,2953.21,-1000.0
2584806559,0,2955.18,2952.03,-1000.0
2584866469,0,2961.62,2954.33,-1000.0
2584913927,0,2971.29,2958.2,-1000.0
2584961960,0,2958.4,2959.21,-1000.0
2585021870,0,2955.18,2955.56,-1000.0
2585070017,0,2934.23,2951.74,-1000.0
2585117852,0,2950.34,2950.39,-1000.0
2585177922,0,2961.62,2950.0,-1000.0
2585226973,0,2955.18,2948.26,-1000.0
2585273907,0,2964.84,2951.49,-1000.0
2585333816,0,2961.62,2947.92,-1000.0
2585381840,0,2935.84,2949.18,-1000.0
2585441854,0,2972.9,2947.46,-1000.0
2585489973,0,2929.39,2944.56,-1000.0
2585537803,0,2955.18,2946.93,-1000.0
2585597780,0,2947.12,2946.79,-1000.0
2585647302,0,2932.62,2942.92,-1000.0
2585693891,0,2927.78,2937.72,-1000.0
2585753838,0,2922.95,2932.46,-1000.0
2585801904,0,2911.67,2925.71,-1000.0
2585862741,0,2902.0,2921.8,-1000.0
2585911767,0,2924.56,2926.3,-1000.0
2585959574,0,2890.72,2921.02,-1000.0
2586019456,0,2935.84,2920.63,-1000.0
2586068223,0,2895.56,2913.54,-1000.0
2586115451,0,2884.28,2907.45,-1000.0
2586175460,0,2855.27,2894.7,-1000.0
2586223378,0,2897.17,2891.49,-1000.0
2586271651,0,2890.72,2893.59,-1000.0
2586331362,0,2921.34,2891.28,-1000.0
2586379489,0,2903.61,2894.38,-1000.0
2586428312,0,2910.06,2898.61,-1000.0
2586488992,0,2924.56,2899.09,-1000.0
2586535787,0,2937.45,2907.19,-1000.0
2586583428,0,2908.45,2910.73,-1000.0
2586643507,0,2934.23,2918.56,-1000.0
2586691485,0,2926.17,2919.11,-1000.0
2586751408,0,2919.73,2919.08,-1000.0
2586799460,0,2934.23,2918.82,-1000.0
2586848888,0,2921.34,2920.83,-1000.0
2586908960,0,2919.73,2921.48,-1000.0
2586957171,0,2890.72,2919.91,-1000.0
2587005036,0,2918.12,2917.48,-1000.0
2587065448,0,2876.22,2915.76,-1000.0
2587112884,0,2940.67,2919.64,-1000.0
2587161130,0,2947.12,2924.99,-1000.0
2587209899,0,2913.28,2925.7,-1000.0
2587269991,0,2937.45,2932.16,-1000.0
2587317140,0,2955.18,2936.47,-1000.0
2587377038,0,2942.29,2933.85,-1000.0
2587425504,0,2951.95,2936.0,-1000.0
2587473110,0,2958.4,2938.8,-1000.0
2587533147,0,2937.45,2937.14,-1000.0
2587581064,0,2924.56,2937.03,-1000.0
2587630600,0,2945.51,2937.43,-1000.0
2587690586,0,2919.73,2930.91,-1000.0
2587737226,0,2931.01,2929.84,-1000.0
2587785106,0,2908.45,2927.87,-1000.0
2587845016,0,2955.18,2933.57,-1000.0
2587893133,0,2913.28,2931.71,-1000.0
2587941102,0,2903.61,2929.96,-1000.0
2588001617,0,2932.62,2930.63,-1000.0
2588049177,0,2935.84,2929.81,-1000.0
2588098638,0,2935.84,2926.69,-1000.0
2588158730,0,2934.23,2928.9,-1000.0
2588206575,0,2934.23,2930.45,-1000.0
2588254630,0,2966.46,2935.07,-1000.0
2588314531,0,2953.56,2936.0,-1000.0
2588362718,0,2926.17,2937.45,-1000.0
2588412215,0,2948.73,2939.33,-1000.0
2588472241,0,2902.0,2935.12,-1000.0
2588518592,0,2977.73,2940.97,-1000.0
2588578649,0,2951.95,2941.63,-1000.0
2588626622,0,2937.45,2939.12,-1000.0
2588674774,0,2950.34,2944.27,-1000.0
2588734811,0,2977.73,2949.4,-1000.0
2588782950,0,2939.06,2952.47,-1000.0
2588830691,0,2953.56,2955.9,-1000.0
2588890740,0,2968.07,2961.37,-1000.0
2588938730,0,2982.57,2965.34,-1000.0
2588998687,0,2956.79,2965.85,-1000.0
2589046645,0,2961.62,2967.05,-1000.0
2589094676,0,2980.96,2970.46,-1000.0
2589153643,0,2985.79,2972.17,-1000.0
2589200321,0,2992.24,2974.36,-1000.0
2589248236,0,2980.96,2977.18,-1000.0
2589308419,0,2963.23,2980.87,-1000.0
2589356323,0,2971.29,2981.2,-1000.0
2589404230,0,2987.4,2987.23,-1000.0
2589464299,0,2989.01,2988.75,-1000.0
2589513564,0,3011.57,2994.76,-1000.0
2589568334,0,3001.9,2998.33,-1000.0
2589616217,0,2993.85,2999.82,-1000.0
2589676241,0,3029.3,3008.48,-1000.0
2589724221,0,3018.02,3007.37,-1000.0
2589772299,0,2992.24,3008.86,-1000.0
2589832199,0,3008.35,3008.32,-1000.0
2589880285,0,3009.96,3009.95,-1000.0
2589928351,0,3013.18,3013.32,-1000.0
2589988354,0,3001.9,3010.49,-1000.0
2590036395,0,2997.07,3010.12,-1000.0
2590084737,0,2987.4,3008.18,-1000.0
2590144805,0,3009.96,3009.29,-1000.0
2590192302,0,3003.52,3001.76,-1000.0
2590240679,0,2987.4,2997.89,-1000.0
2590300273,0,2990.62,2992.71,-1000.0
2590349881,0,2968.07,2990.54,-1000.0
2590397771,0,2972.9,2983.81,-1000.0
2590457898,0,3016.41,2984.34,-1000.0
2590505841,0,2993.85,2988.57,-1000.0
2590555293,0,3003.52,2989.0,-1000.0
2590615301,0,2984.18,2980.88,-1000.0
2590661898,0,2966.46,2982.59,-1000.0
2590709905,0,2984.18,2984.39,-1000.0
2590770011,0,3018.02,2988.74,-1000.0
2590817767,0,2974.51,2987.03,-1000.0
2590877815,0,3003.52,2994.1,-1000.0
2590925889,0,2995.46,2996.96,-1000.0
2590973797,0,3051.86,3004.75,-1000.0
2591033830,0,3024.46,3010.17,-1000.0
2591081801,0,3034.13,3017.44,-1000.0
2591129940,0,3045.41,3025.73,-1000.0
2591177838,0,3055.08,3031.64,-1000.0
2591238040,0,3051.86,3035.15,-1000.0
2591286461,0,3072.8,3043.4,-1000.0
2591333919,0,3096.97,3050.84,-1000.0
2591396354,0,3067.97,3054.54,-1000.0
2591443462,0,3024.46,3054.69,-1000.0
2591491400,0,3090.53,3059.41,-1000.0
2591551569,0,3058.3,3061.51,-1000.0
2591599863,0,3059.91,3062.88,-1000.0
2591647634,0,3043.8,3060.07,-1000.0
2591707394,0,3063.13,3063.19,-1000.0
2591756892,0,3050.24,3059.73,-1000.0
2591803383,0,3038.96,3053.02,-1000.0
2591863456,0,3084.08,3054.62,-1000.0
2591911508,0,3029.3,3051.99,-1000.0
2591959589,0,3066.36,3057.05,-1000.0
2592019459,0,3066.36,3058.81,-1000.0
2592067769,0,3092.14,3059.81,-1000.0
2592115579,0,3048.63,3060.31,-1000.0
2592175455,0,3074.41,3060.32,-1000.0
2592223494,0,3061.52,3064.33,-1000.0
2592271548,0,3040.58,3058.54,-1000.0
2592331599,0,3045.41,3052.88,-1000.0
2592379503,0,3026.07,3047.17,-1000.0
2592439548,0,3103.42,3057.21,-1000.0
2592488911,0,3058.3,3061.35,-1000.0
2592535638,0,3055.08,3062.64,-1000.0
2592585099,0,3069.58,3065.14,-1000.0
2592645000,0,3061.52,3067.83,-1000.0
2592693117,0,3066.36,3069.77,-1000.0
2592753102,0,3096.97,3071.57,-1000.0
2592801092,0,3100.2,3072.18,-1000.0
2592849180,0,3095.36,3072.75,-1000.0
2592909513,0,3061.52,3073.11,-1000.0
2592957091,0,3080.86,3076.63,-1000.0
2593004988,0,3040.58,3071.43,-1000.0
2593065120,0,3067.97,3068.46,-1000.0
2593113003,0,3092.14,3073.13,-1000.0
2593161520,0,3092.14,3077.4,-1000.0
2593221141,0,3098.58,3086.35,-1000.0
2593270189,0,3087.3,3087.11,-1000.0
2593329750,0,3092.14,3093.92,-1000.0
2593376968,0,3111.47,3101.45,-1000.0
2593425049,0,3137.26,3103.03,-1000.0
2593484985,0,3113.09,3104.86,-1000.0
2593533200,0,3116.31,3103.89,-1000.0
2593581158,0,3111.47,3108.25,-1000.0
2593642550,0,3119.53,3113.79,-1000.0
2593690813,0,3134.03,3119.31,-1000.0
2593740276,0,3134.03,3119.63,-1000.0
2593800179,0,3124.36,3122.08,-1000.0
2593846815,0,3105.03,3120.22,-1000.0
2593894683,0,3085.69,3113.02,-1000.0
2593954587,0,3087.3,3109.53,-1000.0
2594002611,0,3106.64,3110.82,-1000.0
2594051222,0,3121.14,3114.06,-1000.0
2594111651,0,3134.03,3119.18,-1000.0
2594158700,0,3127.59,3122.89,-1000.0
2594206776,0,3138.87,3123.94,-1000.0
2594266679,0,3132.42,3121.78,-1000.0
2594314653,0,3135.64,3123.36,-1000.0
2594374727,0,3138.87,3128.14,-1000.0
2594422807,0,3116.31,3128.19,-1000.0
2594482764,0,3119.53,3125.66,-1000.0
2594531968,0,3090.53,3123.58,-1000.0
2594578771,0,3127.59,3124.27,-1000.0
2594639100,0,3130.81,3124.22,-1000.0
2594686729,0,3116.31,3123.19,-1000.0
2594734722,0,3121.14,3121.23,-1000.0
2594796248,0,3106.64,3119.86,-1000.0
2594844308,0,3079.25,3116.41,-1000.0
2594892368,0,3137.26,3118.44,-1000.0
2594952552,0,3117.92,3118.68,-1000.0
2595000277,0,3122.75,3118.16,-1000.0
2595060309,0,3113.09,3117.62,-1000.0
2595108569,0,3087.3,3112.31,-1000.0
2595156263,0,3142.09,3113.39,-1000.0
2595216364,0,3116.31,3111.45,-1000.0
2595264238,0,3109.86,3114.55,-1000.0
2595313126,0,3111.47,3113.64,-1000.0
2595373743,0,3098.58,3111.06,-1000.0
2595420215,0,3114.7,3107.15,-1000.0
2595468346,0,3106.64,3102.88,-1000.0
2595528638,0,3095.36,3099.29,-1000.0
2595576163,0,3092.14,3097.38,-1000.0
2595624264,0,3082.47,3097.29,-1000.0
2595684229,0,3071.19,3093.81,-1000.0
2595733607,0,3088.92,3083.47,-1000.0
2595793934,0,3082.47,3080.33,-1000.0
2595841867,0,3072.8,3080.76,-1000.0
2595889850,0,3080.86,3082.61,-1000.0
2595950021,0,3085.69,3081.39,-1000.0
2595997807,0,3077.64,3078.56,-1000.0
2596045929,0,3071.19,3076.8,-1000.0
2596105966,0,3055.08,3073.43,-1000.0
2596154425,0,3074.41,3069.99,-1000.0
2596201793,0,3034.13,3059.4,-1000.0
2596261927,0,3056.69,3054.69,-1000.0
2596309999,0,3026.07,3049.16,-1000.0
