timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
2762467848,66.478,70.2252,70.3531,47.7,1.0
2762479380,66.4901,70.2404,70.3554,47.7,1.0
2762491494,66.5306,70.2787,70.6632,47.7,1.0
2762503435,66.5434,70.2922,70.4135,47.7,1.0
2762515409,66.5193,70.2698,70.0404,47.69,1.0
2762528043,66.5471,70.3082,70.5714,47.69,1.0
2762539369,66.5503,70.2973,70.3279,47.69,1.0
2762551591,66.569,70.3185,70.496,47.69,1.0
2762563512,66.568,70.3199,70.3109,47.69,1.0
2762575502,66.5612,70.3113,70.2468,47.69,1.0
2762587778,66.5769,70.3279,70.4763,47.69,1.0
2762600436,66.5811,70.3393,70.3791,47.7,1.0
2762612978,66.6145,70.3641,70.6809,47.7,1.0
2762625064,66.5813,70.3444,70.0285,47.7,1.0
2762637837,66.5732,70.3386,70.2614,47.69,1.0
2762649464,66.5738,70.3239,70.3296,47.69,1.0
2762661585,66.5823,70.3329,70.4131,47.69,1.0
2762673140,66.6155,70.368,70.6836,47.69,1.0
2762685149,66.6237,70.3944,70.4726,47.69,1.0
2762697804,66.643,70.3921,70.5747,47.69,1.0
2762709260,66.6504,70.4024,70.4732,47.69,1.0
2762721068,66.6749,70.4282,70.6603,47.69,1.0
2762733083,66.6791,70.4363,70.4767,47.7,1.0
2762745176,66.7007,70.4562,70.6611,47.7,1.0
2762757837,66.6748,70.4348,70.1877,47.7,1.0
2762769245,66.6869,70.4476,70.5631,47.7,1.0
2762781122,66.6979,70.4672,70.5711,47.69,1.0
2762793233,66.7018,70.4564,70.4936,47.69,1.0
2762805130,66.7428,70.4996,70.8881,47.69,1.0
2762817821,66.7521,70.5077,70.5959,47.69,1.0
2762829004,66.7407,70.4985,70.3905,47.69,1.0
2762841170,66.762,70.5234,70.7258,47.69,1.0
2762853079,66.7556,70.5167,70.4555,47.69,1.0
2762865064,66.7971,70.5773,70.9706,47.7,1.0
2762878336,66.8009,70.5778,70.6144,47.7,1.0
2762889189,66.7827,70.544,70.3708,47.7,1.0
2762901067,66.79,70.5517,70.6206,47.7,1.0
2762913034,66.7867,70.5453,70.5137,47.69,1.0
2762925156,66.7975,70.5738,70.6764,47.69,1.0
2762938545,66.7875,70.5633,70.4684,47.69,1.0
2762949371,66.7371,70.4941,70.0135,47.69,1.0
2762961466,66.747,70.5201,70.6137,47.69,1.0
2762973262,66.7381,70.4979,70.4134,47.69,1.0
2762985003,66.7558,70.5164,70.684,47.69,1.0
2762998021,66.7716,70.5342,70.685,47.69,1.0
2763009122,66.7623,70.5243,70.4353,47.69,1.0
2763021110,66.7479,70.5252,70.3888,47.69,1.0
2763033040,66.7074,70.4825,70.0961,47.69,1.0
2763045085,66.7281,70.4859,70.6825,47.69,1.0
2763058445,66.733,70.5008,70.5468,47.69,1.0
2763069501,66.7728,70.5429,70.9203,47.69,1.0
2763081181,66.781,70.5446,70.623,47.69,1.0
2763092988,66.8003,70.5695,70.7521,47.69,1.0
2763105044,66.8156,70.5839,70.7296,47.69,1.0
2763118393,66.8157,70.584,70.5842,47.69,1.0
2763129094,66.8531,70.6196,70.9744,47.69,1.0
2763141185,66.869,70.6396,70.7912,47.69,1.0
2763153053,66.8775,70.6475,70.7279,47.69,1.0
2763165051,66.9028,70.6826,70.9228,47.69,1.0
2763178685,66.8725,70.6401,70.3513,47.69,1.0
2763189160,66.9317,70.7149,71.2756,47.69,1.0
2763201225,66.9241,70.7068,70.6342,47.69,1.0
2763213158,66.9054,70.6825,70.5048,47.69,1.0
2763225053,66.9299,70.7007,70.9329,47.69,1.0
2763238834,66.9519,70.7292,70.9382,47.69,1.0
2763249061,66.9815,70.7605,71.0417,47.69,1.0
