timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
590442342,-0.0317989,-0.0435326,0.0904211,0.003995,0,-0.14084,0.217651,-10.0379,0.003995,-4003,-0.400506,0.0371112,0.146793,-2004,52.7409,49.31
590446376,-0.0549703,-0.0464264,0.0899788,0.004034,0,-0.157391,0.277795,-9.7685,0.004034,-8037,-0.400506,0.0371112,0.146793,-6038,52.7409,49.31
590450382,-0.0311137,-0.0184136,0.0940316,0.004006,0,-0.175408,0.466975,-10.0496,0.004006,-2429,-0.415676,0.0255125,0.124763,-10044,52.7409,49.31
590454341,-0.0449693,-0.0606887,0.0951172,0.003959,0,-0.204481,0.0505413,-9.8804,0.003959,-6388,-0.415676,0.0255125,0.124763,-2815,52.9924,49.31
590458347,-0.0360924,-0.00683677,0.0956727,0.004006,0,-0.180038,0.428962,-9.91969,0.004006,-8,-0.415724,0.0193351,0.120837,-6821,52.9924,49.31
590462342,-0.0375604,-0.0464661,0.0973264,0.003995,0,-0.135534,0.274247,-9.78315,0.003995,-4003,-0.415724,0.0193351,0.120837,-10816,52.9924,49.31
590466381,-0.0403435,-0.0175035,0.0984837,0.004039,0,-0.242576,0.480973,-10.0797,0.004039,-8042,-0.415724,0.0193351,0.120837,-14855,52.9924,49.31
590471176,-0.017941,-0.0394456,0.100833,0.004795,0,-0.128691,0.283572,-9.76466,0.004795,-3234,-0.434382,0.0290735,0.117978,-19650,52.9924,49.31
590475145,-0.0494632,0.00597747,0.10686,0.003969,0,-0.232748,0.18368,-10.0299,0.003969,-7203,-0.434382,0.0290735,0.117978,-1800,51.5697,49.31
590479147,-0.0206105,-0.0559616,0.101604,0.004002,0,-0.0711266,0.454987,-9.97817,0.004002,-8,-0.406343,0.0270095,0.126527,-5802,51.5697,49.31
590483172,-0.0204432,0.010944,0.108243,0.004025,0,-0.306523,0.243568,-9.82903,0.004025,-4033,-0.406343,0.0270095,0.126527,-9827,51.5697,49.31
590487145,-0.0292955,-0.0543113,0.107372,0.003973,0,0.000293802,0.437578,-9.96486,0.003973,-8006,-0.406343,0.0270095,0.126527,-1980,50.9008,49.31
590495154,-0.0319971,-0.0190335,0.114916,0.00401,0,-0.146732,0.290602,-9.92351,0.00401,-7197,-0.3988,0.036181,0.134119,-9989,50.9008,49.31
590499147,-0.00273917,-0.0227973,0.115637,0.003993,0,-0.201346,0.438748,-9.90214,0.003993,-8,-0.395167,0.0333758,0.126724,-2993,51.9048,49.31
590503142,-0.0256782,-0.0115666,0.117042,0.003995,0,-0.182989,0.339947,-9.9343,0.003995,-4003,-0.395167,0.0333758,0.126724,-6988,51.9048,49.31
590507177,0.0136119,-0.0172852,0.116896,0.004035,0,-0.188675,0.204288,-9.81588,0.004035,-8038,-0.395167,0.0333758,0.126724,-11023,51.9048,49.31
590515145,0.0202316,-0.0053949,0.116559,0.003976,0,-0.240872,0.382266,-9.86248,0.003976,-7203,-0.39324,0.0315008,0.132003,-18991,51.9048,49.31
590519147,-0.0163705,-0.0120464,0.120507,0.004002,0,-0.142458,0.189189,-9.99875,0.004002,-8,-0.384042,0.0303816,0.122828,-2252,51.1516,49.31
590523141,0.0184668,-0.00682011,0.119853,0.003994,0,-0.191365,0.514052,-9.70923,0.003994,-4002,-0.384042,0.0303816,0.122828,-6246,51.1516,49.31
590527142,-0.00137301,-0.00869225,0.126111,0.004001,0,-0.206532,0.222029,-10.0853,0.004001,-8003,-0.384042,0.0303816,0.122828,-10247,51.1516,49.31
590531176,0.00196447,-0.00400494,0.125423,0.004034,0,-0.157019,0.543862,-9.90434,0.004034,-3235,-0.398798,0.0393641,0.134287,-3465,52.5743,49.31
590535141,0.0227333,0.00268854,0.130517,0.003965,0,-0.200241,0.18454,-9.83318,0.003965,-7200,-0.398798,0.0393641,0.134287,-7430,52.5743,49.31
590539166,-0.0147362,-0.00490078,0.130768,0.004025,0,-0.169332,0.374034,-9.91887,0.004025,-8,-0.413662,0.0200764,0.137056,-776,51.8211,49.31
590543141,0.0333445,-0.00155991,0.132629,0.003975,0,-0.157859,0.315499,-9.98412,0.003975,-3983,-0.413662,0.0200764,0.137056,-4751,51.8211,49.31
590547163,-0.0138358,0.0145086,0.135854,0.004022,0,-0.219677,0.209128,-9.84152,0.004022,-8005,-0.413662,0.0200764,0.137056,-8773,51.8211,49.31
590551175,0.0303218,-0.0126832,0.134507,0.004012,0,-0.115523,0.48144,-9.97241,0.004012,-3219,-0.417519,0.0206433,0.12633,-12785,51.8211,49.31
590555142,0.00386411,0.0208594,0.140765,0.003967,0,-0.224823,0.167829,-9.69707,0.003967,-7186,-0.417519,0.0206433,0.12633,-16752,51.8211,49.31
590559147,0.0249212,-0.0105559,0.137781,0.004005,0,-0.106397,0.363763,-10.0423,0.004005,-8,-0.415809,0.0260794,0.11399,-20757,51.8211,49.31
590563141,0.0124932,0.0108554,0.141619,0.003994,0,-0.238504,0.219586,-9.78651,0.003994,-4002,-0.415809,0.0260794,0.11399,-3018,50.65,49.31
590567201,0.0206964,0.0176853,0.14326,0.00406,0,-0.133409,0.40981,-9.96031,0.00406,-8062,-0.415809,0.0260794,0.11399,-7078,50.65,49.31
590575141,0.0117957,0.0405065,0.145007,0.003962,0,-0.220501,0.359726,-9.96192,0.003962,-7189,-0.393193,0.0344949,0.135762,-4545,51.7375,49.31
590579147,0.024195,-0.0152252,0.145864,0.004006,0,-0.107048,0.165024,-9.7073,0.004006,-8,-0.39157,0.0434921,0.116408,-8551,51.7375,49.31
590583165,-0.00244446,0.0374889,0.148221,0.004018,0,-0.206282,0.409841,-9.9866,0.004018,-4026,-0.39157,0.0434921,0.116408,-1839,51.4867,49.31
590587141,0.0310604,-0.00232406,0.147843,0.003976,0,-0.143443,0.219336,-9.78266,0.003976,-8002,-0.39157,0.0434921,0.116408,-5815,51.4867,49.31
590591197,-0.0116926,0.0335195,0.153149,0.004056,0,-0.240578,0.325758,-9.9145,0.004056,-3243,-0.378207,0.0373001,0.142927,-9871,51.4867,49.31
