timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
576211540,576206348,0.0131729,0.0348672,0.00402183,0.579656,0.0,0.0,0.0,-1.0
576314586,576310342,0.00546369,0.0390702,-0.00356216,0.591977,0.0,0.0,0.0,-1.0
576414565,576410361,-0.00345359,0.0360335,0.00296318,0.601073,0.0,0.0,0.0,-1.0
576515402,576510359,0.00551109,0.0371214,0.000875651,0.605512,0.0,0.0,0.0,-1.0
576619341,576615148,0.00754704,0.047192,-0.0116273,0.609392,0.0,0.0,0.0,-1.0
576719295,576715184,0.0127103,0.0444418,-0.00863155,0.610783,0.0,0.0,0.0,-1.0
576820100,576815184,0.00270738,0.0474033,-0.00253694,0.610299,0.0,0.0,0.0,-1.0
576920137,576915960,0.00207063,0.0393148,0.000536412,0.611615,0.0,0.0,0.0,-1.0
577024173,577019950,0.00414716,0.0391365,0.0118324,0.616162,0.0,0.0,0.0,-1.0
577125015,577120762,0.00806027,0.0575327,0.0122349,0.619643,0.0,0.0,0.0,-1.0
577225016,577220789,0.0297039,0.0608263,0.00511696,0.615658,0.0,0.0,0.0,-1.0
577328908,577324744,0.0152218,0.0627148,-0.0024534,0.613942,0.0,0.0,0.0,-1.0
577429695,577425542,0.00241207,0.053219,-0.00396061,0.609764,0.0,0.0,0.0,-1.0
577529788,577525542,0.0087325,0.0550916,-0.0244157,0.611691,0.0,0.0,0.0,-1.0
577633729,577629547,0.0015671,0.0513751,-0.0383558,0.619114,0.0,0.0,0.0,-1.0
577733830,577729542,1.20141e-05,0.050862,-0.0409083,0.620737,0.0,0.0,0.0,-1.0
577834507,577830344,0.00598209,0.0518889,-0.0296431,0.616887,0.0,0.0,0.0,-1.0
577938539,577934369,-0.0012608,0.0488701,-0.0444911,0.6179,0.0,0.0,0.0,-1.0
578038595,578034365,-0.000551986,0.0438583,-0.0640407,0.620493,0.0,0.0,0.0,-1.0
578139446,578135185,-0.0103728,0.0421622,-0.050995,0.622183,0.0,0.0,0.0,-1.0
578244411,578239146,-0.0101947,0.0350876,-0.0638043,0.637057,0.0,0.0,0.0,-1.0
578348182,578343999,-0.00973133,0.0414507,-0.0538362,0.639054,0.0,0.0,0.0,-1.0
